error report
==================================================

Total Top-1 Errors: 90857

1. Top-5 totally wrong class:
   Apioperdon pyriforme -> Lycoperdon pyriforme: 473times
   Fomitopsis pinicola -> Phellinus igniarius: 461times
   Pleurotus ostreatus -> Pleurotus pulmonarius: 427times
   Leccinum scabrum -> Boletus reticulatus: 413times
   Daedaleopsis tricolor -> Daedaleopsis confragosa: 382times
   Fomitopsis betulina -> Fomes fomentarius: 328times
   Physcia adscendens -> Hypogymnia physodes: 327times
   Suillus granulatus -> Suillus luteus: 323times
   Schizophyllum commune -> Panellus stipticus: 322times
   Daedaleopsis confragosa -> Daedaleopsis tricolor: 308times
   Lycoperdon perlatum -> Apioperdon pyriforme: 307times
   Boletus reticulatus -> Boletus edulis: 302times
   Leccinum aurantiacum -> Leccinum albostipitatum: 299times
   Fomitopsis pinicola -> Ganoderma applanatum: 299times
   Pseudevernia furfuracea -> Evernia prunastri: 287times
   Leccinum albostipitatum -> Leccinum aurantiacum: 283times
   Coprinus comatus -> Coprinopsis atramentaria: 281times
   Hypogymnia physodes -> Pseudevernia furfuracea: 276times
   Gyromitra gigas -> Gyromitra esculenta: 273times
   Leccinum versipelle -> Leccinum aurantiacum: 272times
   Fomes fomentarius -> Phellinus tremulae: 267times
   Clitocybe nuda -> Lepista nuda: 254times
   Leccinum scabrum -> Leccinum aurantiacum: 251times
   Suillus luteus -> Suillus granulatus: 250times
   Hypogymnia physodes -> Physcia adscendens: 249times
   Leccinum aurantiacum -> Leccinum scabrum: 248times
   Phellinus tremulae -> Phellinus igniarius: 243times
   Gyromitra esculenta -> Gyromitra gigas: 234times
   Amanita muscaria -> Amanita pantherina: 234times
   Amanita rubescens -> Amanita pantherina: 233times
   Gyromitra gigas -> Verpa bohemica: 230times
   Amanita amerirubescens -> Amanita rubescens: 222times
   Leccinum scabrum -> Leccinum versipelle: 213times
   Phlebia tremellosa -> Merulius tremellosus: 206times
   Xanthoria parietina -> Calycina citrina: 200times
   Parmelia sulcata -> Phaeophyscia orbicularis: 195times
   Leccinum scabrum -> Boletus edulis: 195times
   Parmelia sulcata -> Lobaria pulmonaria: 194times
   Trametes versicolor -> Bjerkandera adusta: 191times
   Paxillus involutus -> Lactarius deliciosus: 190times
   Hypogymnia physodes -> Phaeophyscia orbicularis: 184times
   Hypogymnia physodes -> Platismatia glauca: 183times
   Fomes fomentarius -> Daedaleopsis confragosa: 183times
   Lycoperdon pyriforme -> Apioperdon pyriforme: 181times
   Boletus edulis -> Leccinum scabrum: 180times
   Leccinum scabrum -> Suillus luteus: 180times
   Parmelia sulcata -> Platismatia glauca: 177times
   Apioperdon pyriforme -> Lycoperdon perlatum: 176times
   Parmelia sulcata -> Physcia adscendens: 174times
   Fomitopsis pinicola -> Ganoderma curtisii: 172times
   Pseudevernia furfuracea -> Evernia mesomorpha: 171times
   Daedaleopsis confragosa -> Trametes gibbosa: 169times
   Merulius tremellosus -> Phlebia tremellosa: 168times
   Trichaptum biforme -> Chondrostereum purpureum: 166times
   Boletus edulis -> Suillus luteus: 164times
   Sarcomyxa serotina -> Pleurotus ostreatus: 164times
   Boletus edulis -> Imleria badia: 162times
   Ganoderma applanatum -> Fomes fomentarius: 161times
   Vulpicida pinastri -> Xanthoria parietina: 156times
   Phellinus igniarius -> Phellinus tremulae: 153times
   Fomitopsis pinicola -> Ischnoderma resinosum: 152times
   Leucoagaricus leucothites -> Volvopluteus gloiocephalus: 152times
