epoch,batch,train_loss,val_top1,val_top5,val_balanced,val_f1,val_loss,learning_rate,temperature,grad_norm
6,80,0.935138,,,,,,1.00e-03,0.0050,0.0
6,100,0.961199,,,,,,1.00e-03,0.0050,0.0
6,120,0.896465,,,,,,1.00e-03,0.0050,0.0
6,140,0.951699,,,,,,1.00e-03,0.0050,0.0
6,160,0.980756,,,,,,1.00e-03,0.0050,0.0
6,180,0.936239,,,,,,1.00e-03,0.0050,0.0
6,200,0.946288,,,,,,1.00e-03,0.0050,0.0
6,220,0.971292,,,,,,1.00e-03,0.0050,0.0
6,240,0.944520,,,,,,1.00e-03,0.0050,0.0
6,260,0.901095,,,,,,1.00e-03,0.0050,0.0
6,280,0.965488,,,,,,1.00e-03,0.0050,0.0
6,300,1.020236,,,,,,3.00e-04,0.0050,0.0
6,320,0.844049,,,,,,1.00e-03,0.0050,0.0
6,340,0.879162,,,,,,1.00e-03,0.0050,0.0
6,360,0.869200,,,,,,1.00e-03,0.0050,0.0
6,380,0.882091,,,,,,1.00e-03,0.0050,0.0
6,-1,0.949054,0.791816,0.958952,0.768936,0.748046,1.054388,,,,
7,20,0.908735,,,,,,1.00e-03,0.0050,0.0
7,40,0.860891,,,,,,1.00e-03,0.0050,0.0
7,60,0.822376,,,,,,1.00e-03,0.0050,0.0
7,80,0.822598,,,,,,1.00e-03,0.0050,0.0
7,100,0.866322,,,,,,1.00e-03,0.0050,0.0
7,120,0.778650,,,,,,1.00e-03,0.0050,0.0
7,140,0.798336,,,,,,1.00e-03,0.0050,0.0
7,160,0.883897,,,,,,1.00e-03,0.0050,0.0
7,180,0.855021,,,,,,1.00e-03,0.0050,0.0
7,200,0.807367,,,,,,1.00e-03,0.0050,0.0
7,220,0.764373,,,,,,1.00e-03,0.0050,0.0
7,240,0.781444,,,,,,1.00e-03,0.0050,0.0
7,260,0.765003,,,,,,1.00e-03,0.0050,0.0
7,280,0.773968,,,,,,1.00e-03,0.0050,0.0
7,300,0.707883,,,,,,1.00e-03,0.0050,0.0
7,320,0.840635,,,,,,1.00e-03,0.0050,0.0
7,340,0.809507,,,,,,1.00e-03,0.0050,0.0
7,360,0.767074,,,,,,1.00e-03,0.0050,0.0
7,380,0.848840,,,,,,1.00e-03,0.0050,0.0
7,-1,0.812960,0.805776,0.964844,0.787858,0.768659,0.999279,,,,
8,20,0.771747,,,,,,1.00e-03,0.0050,0.0
8,40,0.694267,,,,,,1.00e-03,0.0050,0.0
8,60,0.740442,,,,,,1.00e-03,0.0050,0.0
8,80,0.736447,,,,,,1.00e-03,0.0050,0.0
8,100,0.727134,,,,,,1.00e-03,0.0050,0.0
8,120,0.758132,,,,,,1.00e-03,0.0050,0.0
8,140,0.788798,,,,,,1.00e-03,0.0050,0.0
8,160,0.751088,,,,,,1.00e-03,0.0050,0.0
8,180,0.735500,,,,,,1.00e-03,0.0050,0.0
8,200,0.687541,,,,,,1.00e-03,0.0050,0.0
8,220,0.757214,,,,,,1.00e-03,0.0050,0.0
8,240,0.729228,,,,,,1.00e-03,0.0050,0.0
8,260,0.745118,,,,,,1.00e-03,0.0050,0.0
8,280,0.735941,,,,,,1.00e-03,0.0050,0.0
8,300,0.683645,,,,,,9.99e-04,0.0050,0.0
8,320,0.668720,,,,,,9.99e-04,0.0050,0.0
8,340,0.743299,,,,,,9.99e-04,0.0050,0.0
8,360,0.722286,,,,,,9.99e-04,0.0050,0.0
8,380,0.673880,,,,,,9.99e-04,0.0050,0.0
8,-1,0.729735,0.813140,0.965036,0.790410,0.772362,0.978559,,,,
9,20,0.690815,,,,,,9.99e-04,0.0050,0.0
9,40,0.736522,,,,,,9.99e-04,0.0050,0.0
9,60,0.682974,,,,,,9.99e-04,0.0050,0.0
9,80,0.703879,,,,,,9.99e-04,0.0050,0.0
9,100,0.692027,,,,,,9.99e-04,0.0050,0.0
9,120,0.678323,,,,,,9.99e-04,0.0050,0.0
9,140,0.733332,,,,,,9.99e-04,0.0050,0.0
9,160,0.695693,,,,,,9.99e-04,0.0050,0.0
9,180,0.678656,,,,,,9.99e-04,0.0050,0.0
9,200,0.610672,,,,,,9.99e-04,0.0050,0.0
9,220,0.686013,,,,,,9.99e-04,0.0050,0.0
9,240,0.691414,,,,,,9.99e-04,0.0050,0.0
9,260,0.642089,,,,,,9.99e-04,0.0050,0.0
9,280,0.661067,,,,,,9.99e-04,0.0050,0.0
9,300,0.656846,,,,,,9.99e-04,0.0050,0.0
9,320,0.720896,,,,,,9.99e-04,0.0050,0.0
9,340,0.679635,,,,,,9.99e-04,0.0050,0.0
9,360,0.708410,,,,,,9.99e-04,0.0050,0.0
9,380,0.706861,,,,,,9.99e-04,0.0050,0.0
9,-1,0.680783,0.795466,0.963051,0.793235,0.770678,0.993889,,,,
10,20,0.611915,,,,,,9.99e-04,0.0050,0.0
10,40,0.649113,,,,,,9.99e-04,0.0050,0.0
10,60,0.688455,,,,,,9.99e-04,0.0050,0.0
10,80,0.565218,,,,,,9.99e-04,0.0050,0.0
10,100,0.679262,,,,,,9.99e-04,0.0050,0.0
10,120,0.649069,,,,,,9.99e-04,0.0050,0.0
